Year,Event 1,Event 2,Event 3,Event 4,Event 5,pid,age,gender,education,highest qualification,employment,wages,hours worked,wage per hour,relationship,is in serps,foster status,years fostered,years in education,years in work this spell,years unemployed this spell,years in work total,years unemployed total,Childrens Services: Expenditure,Local Authority: Expenditure,Welsh Government: Expenditure,Uk Government: Expenditure,Childrens Services: Receipts,Local Authority: Receipts,Welsh Government: Receipts,Uk Government: Receipts,income tax,national insurance,employers ni,tax credits,child benefit,education allowances,foster care payments,student grants,student loans,total taxable income,net income,total student loans,outstanding student loans,assigned admin costs,childs contributions,student accommodation costs,vat
 2011,,,,,, 2002, 17,Female,School,No Qualification,In Education,        0.00,0,        0.00,Child,False,Currently Fostered,       13.00,        1.00,        0.00,        0.00,        0.00,        0.00,    26644.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17804.00,        0.00,        0.00,        0.00
 2012,,,,,, 2002, 18,Female,School,No Qualification,In Education,        0.00,0,        0.00,Child,False,Currently Fostered,       14.00,        2.00,        0.00,        0.00,        0.00,        0.00,    26644.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17804.00,        0.00,        0.00,        0.00
 2013,Completes A Levels,Leave School,Leave Fostering,Start Higher Education,Leave Household, 2002, 19,Female,Higher Education,A Level,In Education,        0.00,0,        0.00,Head,False,Previously Fostered,       14.00,        3.00,        0.00,        0.00,        0.00,        0.00,     2196.86,        0.00,    16736.00,        0.00,        0.00,        0.00,        0.00,     2620.53,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    10586.00,     6150.00,        0.00,    18157.86,     6150.00,     6150.00,      775.00,        0.00,     1421.86,     2620.53
 2014,,,,,, 2002, 20,Female,Higher Education,A Level,In Education,        0.00,0,        0.00,Head,False,Previously Fostered,       14.00,        4.00,        0.00,        0.00,        0.00,        0.00,     1421.86,        0.00,    16736.00,        0.00,        0.00,        0.00,        0.00,     2620.53,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    10586.00,     6150.00,        0.00,    18157.86,    12300.00,    12300.00,        0.00,        0.00,     1421.86,     2620.53
 2015,End Higher Education,Start Work,,,, 2002, 21,Female,Not In Education,A Level,Full Time,    11269.66,1786,        6.31,Head,False,Previously Fostered,       14.00,        4.00,        1.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,      343.02,        0.00,        0.00,        0.00,     2660.59,      365.93,      372.55,      365.52,      343.02,        0.00,        0.00,        0.00,        0.00,        0.00,    11269.66,    10874.19,    12300.00,    12300.00,        0.00,        0.00,        0.00,     1556.58
 2016,,,,,, 2002, 22,Female,Not In Education,A Level,Full Time,    11269.66,1786,        6.31,Head,False,Previously Fostered,       14.00,        4.00,        2.00,        0.00,        2.00,        0.00,        0.00,        0.00,        0.00,      343.02,        0.00,        0.00,        0.00,     2660.59,      365.93,      372.55,      365.52,      343.02,        0.00,        0.00,        0.00,        0.00,        0.00,    11269.66,    10874.19,    12300.00,    12300.00,        0.00,        0.00,        0.00,     1556.58
 2017,,,,,, 2002, 23,Female,Not In Education,A Level,Full Time,    11269.66,1786,        6.31,Head,False,Previously Fostered,       14.00,        4.00,        3.00,        0.00,        3.00,        0.00,        0.00,        0.00,        0.00,      343.02,        0.00,        0.00,        0.00,     2660.59,      365.93,      372.55,      365.52,      343.02,        0.00,        0.00,        0.00,        0.00,        0.00,    11269.66,    10874.19,    12300.00,    12300.00,        0.00,        0.00,        0.00,     1556.58
 2018,,,,,, 2002, 24,Female,Not In Education,A Level,Full Time,    11333.30,1786,        6.35,Head,False,Previously Fostered,       14.00,        4.00,        4.00,        0.00,        4.00,        0.00,        0.00,        0.00,        0.00,      314.31,        0.00,        0.00,        0.00,     2689.07,      378.66,      379.30,      372.14,      314.31,        0.00,        0.00,        0.00,        0.00,        0.00,    11333.30,    10889.65,    12300.00,    12300.00,        0.00,        0.00,        0.00,     1558.97
 2019,,,,,, 2002, 25,Female,Not In Education,A Level,Full Time,    11753.55,1786,        6.58,Head,False,Previously Fostered,       14.00,        4.00,        5.00,        0.00,        5.00,        0.00,        0.00,        0.00,        0.00,      901.61,        0.00,        0.00,        0.00,     2997.48,      462.71,      423.85,      415.85,      901.61,        0.00,        0.00,        0.00,        0.00,        0.00,    11753.55,    11768.61,    12300.00,    12300.00,        0.00,        0.00,        0.00,     1695.07
 2020,,,,,, 2002, 26,Female,Not In Education,A Level,Full Time,    12171.26,1786,        6.81,Head,False,Previously Fostered,       14.00,        4.00,        6.00,        0.00,        6.00,        0.00,        0.00,        0.00,        0.00,      713.18,        0.00,        0.00,        0.00,     3184.50,      546.25,      468.12,      459.29,      713.18,        0.00,        0.00,        0.00,        0.00,        0.00,    12171.26,    11870.07,    12300.00,    12300.00,        0.00,        0.00,        0.00,     1710.83
