Year,Event 1,Event 2,Event 3,Event 4,Event 5,pid,age,gender,education,highest qualification,employment,wages,hours worked,wage per hour,relationship,is in serps,foster status,years fostered,years in education,years in work this spell,years unemployed this spell,years in work total,years unemployed total,Childrens Services: Expenditure,Local Authority: Expenditure,Welsh Government: Expenditure,Uk Government: Expenditure,Childrens Services: Receipts,Local Authority: Receipts,Welsh Government: Receipts,Uk Government: Receipts,income tax,national insurance,employers ni,tax credits,child benefit,education allowances,foster care payments,student grants,student loans,total taxable income,net income,total student loans,outstanding student loans,assigned admin costs,childs contributions,student accommodation costs,vat
 2011,,,,,, 2002, 17,Female,School,No Qualification,In Education,        0.00,0,        0.00,Child,False,Currently Fostered,       13.00,        1.00,        0.00,        0.00,        0.00,        0.00,    26644.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17804.00,        0.00,        0.00,        0.00
 2012,,,,,, 2002, 18,Female,School,No Qualification,In Education,        0.00,0,        0.00,Child,False,Currently Fostered,       14.00,        2.00,        0.00,        0.00,        0.00,        0.00,    26644.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17804.00,        0.00,        0.00,        0.00
 2013,Completes A Levels,Leave School,Leave Fostering,Leave Household,, 2002, 19,Female,Not In Education,A Level,Unemployed,        0.00,0,        0.00,Head,False,Previously Fostered,       14.00,        2.00,        0.00,        1.00,        0.00,        1.00,      775.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,      837.49,        0.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6322.48,        0.00,        0.00,      775.00,        0.00,        0.00,      837.49
 2014,,,,,, 2002, 20,Female,Not In Education,A Level,Unemployed,        0.00,0,        0.00,Head,False,Previously Fostered,       14.00,        2.00,        0.00,        2.00,        0.00,        2.00,        0.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,      837.49,        0.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,        0.00,        0.00,      837.49
 2015,Start Higher Education,,,,, 2002, 21,Female,Higher Education,A Level,In Education,        0.00,0,        0.00,Head,False,Previously Fostered,       14.00,        3.00,        0.00,        2.00,        0.00,        2.00,     1421.86,        0.00,    16736.00,        0.00,        0.00,        0.00,        0.00,     2620.53,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    10586.00,     6150.00,        0.00,    18157.86,     6150.00,     6150.00,        0.00,        0.00,     1421.86,     2620.53
 2016,,,,,, 2002, 22,Female,Higher Education,A Level,In Education,        0.00,0,        0.00,Head,False,Previously Fostered,       14.00,        4.00,        0.00,        2.00,        0.00,        2.00,     1421.86,        0.00,    16736.00,        0.00,        0.00,        0.00,        0.00,     2620.53,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    10586.00,     6150.00,        0.00,    18157.86,    12300.00,    12300.00,        0.00,        0.00,     1421.86,     2620.53
 2017,,,,,, 2002, 23,Female,Higher Education,A Level,In Education,        0.00,0,        0.00,Head,False,Previously Fostered,       14.00,        5.00,        0.00,        2.00,        0.00,        2.00,     1421.86,        0.00,    16736.00,        0.00,        0.00,        0.00,        0.00,     2620.53,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    10586.00,     6150.00,        0.00,    18157.86,    18450.00,    18450.00,        0.00,        0.00,     1421.86,     2620.53
 2018,Graduates,End Higher Education,Start Work,,, 2002, 24,Female,Not In Education,Degree,Full Time,    15541.73,1786,        8.70,Head,False,Previously Fostered,       14.00,        5.00,        1.00,        0.00,        1.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4820.20,     1220.35,      825.39,      809.82,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15541.73,    13495.99,    18450.00,    18450.00,        0.00,        0.00,        0.00,     1964.64
 2019,,,,,, 2002, 25,Female,Not In Education,Degree,Full Time,    16505.00,1786,        9.24,Head,False,Previously Fostered,       14.00,        5.00,        2.00,        0.00,        2.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5320.15,     1413.00,      927.50,      910.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16505.00,    14164.50,    18450.00,    18450.00,        0.00,        0.00,        0.00,     2069.65
 2020,,,,,, 2002, 26,Female,Not In Education,Degree,Full Time,    17483.30,1786,        9.79,Head,False,Previously Fostered,       14.00,        5.00,        3.00,        0.00,        3.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5828.27,     1608.66,     1031.20,     1011.74,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17483.30,    14843.44,    18450.00,    18450.00,        0.00,        0.00,        0.00,     2176.67
